,income,age,disability,employment
932,15,74,0,0
933,12,80,0,0
934,12,71,0,0
935,2,85,0,0
936,3,85,0,0
937,6,85,0,0
938,8,85,0,0
939,7,59,0,0
940,14,65,0,0
941,12,70,0,0
942,3,74,0,0
943,13,77,0,0
944,7,80,0,0
945,14,65,0,0
946,14,65,0,0
947,7,43,0,0
948,4,59,0,0
949,11,56,0,0
950,13,70,0,0
951,13,70,0,0
952,8,85,0,0
953,11,80,0,0
954,11,77,0,0
956,5,78,0,0
957,11,80,0,0
958,11,80,0,0
959,4,85,0,0
960,7,85,0,0
961,7,80,0,0
962,13,58,0,0
963,14,69,0,0
964,14,75,0,0
965,9,80,0,0
966,16,69,0,0
967,16,65,0,0
968,12,76,0,0
969,12,62,0,0
970,14,69,0,0
971,11,73,0,0
972,12,77,0,0
973,15,69,0,0
974,15,70,0,0
975,6,80,0,0
976,16,70,0,0
977,6,62,0,0
978,9,85,0,0
980,14,80,0,0
981,14,79,0,0
982,10,56,0,0
983,10,69,0,0
984,14,72,0,0
985,14,76,0,0
986,13,85,0,0
987,13,85,0,0
988,13,65,0,1
989,15,65,0,0
990,15,65,0,0
991,8,85,0,0
992,11,85,0,0
994,6,85,0,0
995,14,68,0,0
996,14,68,0,0
997,7,71,0,0
998,11,57,0,0
999,13,71,0,0
1000,13,59,0,0
1001,11,65,0,0
1002,11,65,0,0
1003,8,79,0,0
1004,8,78,0,0
1005,8,56,0,0
1006,8,55,0,0
1007,5,65,0,0
1008,5,74,0,0
1009,14,65,0,0
1010,8,80,0,0
1011,8,80,0,0
1012,6,75,0,0
1013,6,79,0,0
1014,5,80,0,0
1015,12,72,0,0
1016,8,72,0,0
1017,16,64,0,1
1018,16,63,0,0
1019,10,68,0,0
1020,10,80,0,0
1021,5,80,0,0
1022,5,71,0,0
1023,11,63,0,0
1024,11,63,0,0
1025,11,60,0,0
1026,15,72,0,0
1027,2,78,0,0
1028,7,69,0,0
1029,9,73,0,0
1030,12,67,0,0
1031,7,80,0,0
1032,7,80,0,0
1033,13,64,0,0
1034,10,85,0,0
1035,4,69,0,0
1036,7,80,0,0
1037,7,80,0,0
1039,11,70,0,0
1040,10,61,0,1
1041,10,61,0,1
1042,9,80,0,0
1043,5,80,0,0
1044,7,85,0,0
1045,7,85,0,0
1046,15,85,0,0
1047,15,80,0,0
1048,7,85,0,0
1049,3,68,0,0
1050,6,61,0,0
1051,12,76,0,0
1052,12,77,0,0
1053,5,75,0,0
1054,6,66,0,0
1055,6,69,0,0
1056,4,73,0,0
1057,13,65,0,0
1058,4,77,0,0
1059,4,75,0,0
1060,4,85,0,0
1061,4,74,0,0
1063,6,85,0,0
1064,5,75,0,0
1065,5,80,0,0
1066,8,79,0,0
